FECHA,LIGA,LOCAL,VISITANTE,ODDS_REAL_SCORE,TOP1,TOP2,TOP3,TOP5,P_TOP1,ODDS_TOP1_HIT,ODDS_TOP3_HIT,ODDS_TOP5_HIT,CUOTA,CS001_ATTACK_EDGE,CS002_DOMINANCE,CS003_FORM_EDGE,CS004_SHOTS_EDGE,CS005_OVER_EDGE,CS006_BTTS_EDGE,CS007_AWAY_ATTACK_EDGE,CS007_HOME_ATTACK_EDGE,CS008_AWAY_GA_STD,CS008_AWAY_GF_STD,CS008_HOME_GA_STD,CS008_HOME_GF_STD,CS009_AWAY_TG0_RATE,CS009_AWAY_TG1_RATE,CS009_AWAY_TG2_RATE,CS009_AWAY_TG3_RATE,CS009_AWAY_TG4PLUS_RATE,CS009_HOME_TG0_RATE,CS009_HOME_TG1_RATE,CS009_HOME_TG2_RATE,CS009_HOME_TG3_RATE,CS009_HOME_TG4PLUS_RATE,CS010_AWAY_WIN10_RATE,CS010_AWAY_WIN20_RATE,CS010_AWAY_WIN21_RATE,CS010_AWAY_WINOTHER_RATE,CS010_HOME_WIN10_RATE,CS010_HOME_WIN20_RATE,CS010_HOME_WIN21_RATE,CS010_HOME_WINOTHER_RATE
2021-09-12,1º DIV ITALIA,SPEZIA,UDINESE,0-1,0-0,0-1,0-2,"['0-0', '0-1', '0-2', '0-3', '0-4']",1.0,False,True,True,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,2.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-09-12,1º DIV ITALIA,SAMPDORIA,INTER,2-2,0-2,0-1,0-3,"['0-2', '0-1', '0-3', '1-2', '0-4']",0.15841892048352132,False,False,False,15.0,-3.0,-2.0,-1.0,-5.0,0.5,0.5,3.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-09-12,1º DIV ITALIA,MILAN,LAZIO,2-0,2-2,3-2,2-1,"['2-2', '3-2', '2-1', '3-1', '2-3']",0.06471107673248572,False,False,False,12.0,1.0,3.0,0.0,0.0,1.0,1.0,3.0,4.0,0.0,1.5,0.5,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.5
2021-09-12,1º DIV ITALIA,ROMA,SASSUOLO,2-1,2-2,3-2,2-1,"['2-2', '3-2', '2-1', '2-3', '3-1']",0.06426838820310704,False,True,True,9.0,-1.0,0.6000000000000001,0.0,-2.0,1.0,1.0,3.0,6.0,1.0,1.5,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2021-09-12,1º DIV ITALIA,TORINO,SALERNITANA,4-0,2-1,2-2,1-1,"['2-1', '2-2', '1-1', '1-2', '3-1']",0.0736222308374444,False,False,False,29.0,-2.0,-1.1999999999999997,0.0,4.0,1.0,1.0,4.0,3.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-13,1º DIV ITALIA,BOLOGNA,VERONA,1-0,1-0,1-1,2-0,"['1-0', '1-1', '2-0', '2-1', '3-0']",0.10608926349206477,True,True,True,10.0,5.0,4.4,1.0,7.0,0.5,0.5,0.0,0.0,0.0,0.5,1.0,1.5,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2021-09-17,1º DIV ITALIA,SASSUOLO,TORINO,0-1,0-0,1-0,2-0,"['0-0', '1-0', '2-0', '0-1', '1-1']",0.22905056315433417,False,False,True,17.0,-3.0,-1.0,0.3333333333333333,5.0,0.5,0.5,0.0,0.0,0.9428090415820634,1.4142135623730951,0.9428090415820634,1.247219128924647,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2021-09-18,1º DIV ITALIA,GENOA,FIORENTINA,1-2,1-1,1-2,2-1,"['1-1', '1-2', '2-1', '2-2', '0-1']",0.09651056889479256,False,True,True,9.5,-0.5,-1.4,-0.5,-2.0,1.0,1.0,3.0,2.0,0.9428090415820634,0.4714045207910317,0.9428090415820634,1.247219128924647,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2021-09-18,1º DIV ITALIA,INTER,BOLOGNA,6-1,2-0,3-0,1-0,"['2-0', '3-0', '1-0', '4-0', '0-0']",0.25694148693274377,False,False,False,71.0,4.0,5.3999999999999995,0.6666666666666667,7.0,0.5,0.0,0.0,0.0,0.9428090415820634,1.247219128924647,0.816496580927726,0.816496580927726,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,1.0
2021-09-18,1º DIV ITALIA,SALERNITANA,ATALANTA,0-1,0-3,0-2,0-4,"['0-3', '0-2', '0-4', '0-1', '1-3']",0.1354846731704561,False,False,True,8.0,1.0,-1.4,-1.0,-2.0,1.0,0.5,8.0,0.0,0.816496580927726,0.816496580927726,0.4714045207910317,0.9428090415820634,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
